bat,1,1,1,2,0,15,0
ve,1,1,2,0,2,0,13
nis,1,2,3,1,1,1,12
se,0,0,2,2,0,2,11
ae,2,1,7,0,2,3,10
ne,1,0,2,1,1,4,9
an,1,2.5,1,2,0,5,8
tro,1,1,4,0,2,6,7
ja,1,1,1,1,1,7,6
no,1,1,4,2,0,8,5
san,1,2,1,0,2,9,4
gui,1,1,3,1,1,10,3
ne,1,1.5,2,2,0,11,2
cre,1,1,2,0,1,12,1
tum,1,1,5,1,0,13,0
cui,2,1,12,0,0,0,13
se,1,1,2,0,0,1,12
pulch,1,3,5,0,1,2,11
ra,1,1,1,1,0,3,10
vi,1,1,3,0,1,4,9
ro,1,1,4,1,0,5,8
dig,1,2,3,0,2,6,7
ne,1,1,2,1,1,7,6
tur,1,2,5,2,0,8,5
jun,1,2,5,0,2,9,4
ge,1,1,2,1,1,10,3
re,1,1,2,2,0,11,2
di,1,1,3,0,1,12,1
do,1,0,4,1,0,13,0
nunc,1,2,5,0,0,0,14
hi,1,0,3,0,2,1,13
e,1,1,2,1,1,2,12
mem,0,0,2,2,0,3,11
in,1,2,3,0,1,4,10
ter,1,2,2,1,0,5,9
se,1,1,2,0,0,6,8
lu,1,2,5,0,1,7,7
xu,1,1,5,1,0,8,6
quam,1,2,1,0,0,9,5
lon,1,2,4,0,1,10,4
ga,1,1,1,1,0,11,3
fo,1,1,4,0,2,12,2
ve,1,1,2,1,1,13,1
re,1,0,2,2,0,14,0
reg,1,2,2,0,2,0,15
no,1,1,4,1,1,1,14
rum,0,0,5,2,0,2,13
im,1,2,3,0,3,3,12
me,1,1,2,1,2,4,11
mo,1,1,4,2,1,5,10
res,1,2,2,3,0,6,9
tur,1,2,5,0,2,7,8
pi,1,1,3,1,1,8,7
que,1,1,2,2,0,9,6
cu,1,1,5,0,3,10,5
pi,1,1,3,1,2,11,4
di,1,1,3,2,1,12,3
ne,1,1,2,3,0,13,2
cap,1,2,1,0,1,14,1
tos,1,1,4,1,0,15,0
haec,2,2,7,0,0,0,14
pas,1,2,1,0,1,1,13
sim,1,2,3,1,0,2,12
de,1,0,2,0,1,3,11
a,1,1,1,1,0,4,10
foe,2,1,8,0,1,5,9
da,1,1,1,1,0,6,8
vi,1,1,3,0,1,7,7
rum,1,2,5,1,0,8,6
dif,1,2,3,0,2,9,5
fun,1,2,5,1,1,10,4
dit,1,1,3,2,0,11,3
in,1,1,3,0,0,12,2
o,1,1,4,0,1,13,1
ra,1,0,1,1,0,14,0
pro,1,1,4,0,2,0,13
ti,1,1,3,1,1,1,12
nus,1,1,5,2,0,2,11
ad,1,1.5,1,0,0,3,10
re,1,1,2,0,1,4,9
gem,1,2,2,1,0,5,8
cur,1,2,5,0,1,6,7
sus,1,2,5,1,0,7,6
de,1,1,2,0,2,8,5
tor,1,2,4,1,1,9,4
quet,1,2,2,2,0,10,3
i,1,0,3,0,2,11,2
ar,1,2,1,0,1,12,1
ban,1,1,1,1,0,13,0
in,1,2,3,0,3,0,15
cen,1,2,2,1,2,1,14
dit,1,2,3,2,1,2,13
que,0,0,2,3,0,3,12
a,1,1,1,0,2,4,11
ni,1,1,3,1,1,5,10
mum,1,2,5,2,0,6,9
dic,1,2,3,0,1,7,8
tis,1,1,3,1,0,8,7
at,1,2,1,0,1,9,6
que,0,0,2,1,0,10,5
ag,1,2,1,0,2,11,4
ge,1,1,2,1,1,12,3
rat,1,1,1,2,0,13,2
i,1,1,3,0,1,14,1
ras,1,1,1,1,0,15,0
hic,1,1,3,0,0,0,14
ham,1,2,1,0,2,1,13
mo,1,1,4,1,1,2,12
ne,1,1,2,2,0,3,11
sa,1,1,1,0,1,4,10
tus,1,2,5,1,0,5,9
rap,1,2,1,0,1,6,8
ta,1,1,1,1,0,7,7
ga,1,1,1,0,4,8,6
ra,1,1,1,1,3,9,5
man,1,2,1,2,2,10,4
ti,1,1,3,3,1,11,3
de,1,1,2,4,0,12,2
nump,1,2,5,0,1,13,1
ha,1,0,1,1,0,14,0
temp,1,2.5,2,0,1,0,13
la,1,1,1,1,0,1,12
jo,1,1,4,0,1,2,11
vi,1,1,3,1,0,3,10
cen,1,2,2,0,1,4,9
tum,1,2,5,1,0,5,8
la,1,1,1,0,1,6,7
tis,1,1,3,1,0,7,6
im,1,2,3,0,3,8,5
ma,1,1,1,1,2,9,4
ni,1,0,3,2,1,10,3
